1001,Drink,45,99
1002,Cake,300,100
1003,Chocolate,10,100
1004,milk,30,100
1005,sauces,15,99
1006,biscuits,20,100
1007,pen,10,100
1008,notebook,30,99
1009,spoon,25,100
1010,pots,200,100
1011,oilpack,70,99
1012,maggi,15,100
1013,masala,10,100
1014,waterbotal,18,100
1015,cup,40,100
1016,headphone,200,100
1017,sugar,145,99
1018,jaggery,60,100
1019,soap,24,100
1020,brush,20,100
1021,darymilk,100,100
1022,bread,25,100
1023,moogdal,46,100
1024,matki,47,99
1025,mixdal,96,100
1026,udid,78,100
1027,dal,57,100
1028,kaju,100,100
1029,salt,30,99
1030,teapawder,50,100
1031,bag,1200,99
1032,toys,560,100
1033,phone,4000,100
1034,book_p,240,100
1035,ballpen,20,100
1036,syrup,40,100
1037,syrup2,80,99
1038,eclirse,20,100
1039,headphone,460,100
1040,pillow,200,100
1041,router,3200,100
1042,tv,45000,100
1043,remote,1230,99
1044,glass,240,100
1045,dprotin,250,100
1046,eprotin,250,100
1047,mug,200,100
1048,fan,1800,100
1049,bat,2000,100
1050,shoes,1500,100
